Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.191389344873899,0.0551666066110075,0.29808781267706,0.283692395910162,0.297971774718822,0.268358772656602,0.281195815732375,0.299082634225993,0.297563650500103,0.223478872007068,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.84403546341413,1.03156754537918,1.65638950333875,1.79571244233506,1.66521852478371,1.5900693334483,1.88055711291312,1.85464154039805,1.74946245713759,1.54455011524574,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.466365604238,2.60106533887127,3.65846867891071,3.81152114717356,3.95196093867474,3.83383422168475,3.83368112626665,3.92429872230088,3.99440182789199,3.7182233703076,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.59215217756538,7.92701635475135,6.67423318900893,6.44593066279443,6.48576924149081,6.46528811690102,6.30209786421442,6.59405703011478,6.2872038038851,5.77714799227799,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.554941321223965,0.988416415650984,1.0310436355189,1.0914970571178,1.12518536428885,1.01255212444657,0.829723216824015,0.755827619476188,0.753638205444169,0.592742967779037,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,3.4455533097524,4.16361335020985,5.34368396668814,5.34089380967323,5.45023960151655,5.5264785124332,5.48842722154545,5.5508261847074,5.52558159731646,5.12173012173012,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.07356315436491,3.56791849018313,4.34225013023383,4.20911189491323,4.30191380564475,4.20181586904703,4.07011168693629,3.97565074444479,3.74202981162433,3.4056175404138,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,5.57991912924335,1.12386749283499,1.896163384039,1.89589367216507,1.85625278998956,1.7679664042068,1.88339587008485,2.01377938113001,2.1965523671897,2.40468376195106,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
